iter	RMSE
0	5451.315676
1	5434.431133
2	5422.508713
3	5405.580354
4	5400.132994
5	5391.298474
6	5382.106703
7	5368.722142
8	5360.301176
9	5355.363891
10	5342.048686
11	5329.872253
12	5322.160817
13	5310.232336
14	5296.265752
15	5287.103789
16	5284.045251
17	5269.717323
18	5252.712578
19	5252.463964
20	5233.832879
21	5233.489445
22	5217.018942
23	5214.314603
24	5205.370504
25	5189.072266
26	5184.916247
27	5169.442027
28	5149.12791
29	5143.229917
30	5125.787624
31	5116.219277
32	5104.926962
33	5093.878421
34	5075.624789
35	5072.842313
36	5061.758212
37	5055.826159
38	5042.665752
39	5035.20149
40	5021.715201
41	5021.523873
42	5013.387263
43	5011.033279
44	4994.512231
45	4985.373946
46	4979.279374
47	4966.530006
48	4957.225008
49	4950.99452
50	4939.596547
51	4931.572864
52	4919.385123
53	4909.925474
54	4900.705697
55	4885.179479
56	4881.321526
57	4869.184435
58	4863.037362
59	4846.824024
60	4844.28398
61	4837.147168
62	4833.089595
63	4830.151221
64	4822.07962
65	4816.779152
66	4812.140848
67	4808.401066
68	4805.08502
69	4790.690596
70	4781.162733
71	4771.70837
72	4769.471077
73	4761.006057
74	4751.004452
75	4739.81962
76	4729.501298
77	4725.323872
78	4717.956851
79	4709.669718
80	4704.408644
81	4691.351717
82	4680.630227
83	4670.708674
84	4669.126427
85	4661.178129
86	4652.249255
87	4635.01637
88	4631.6778
89	4626.491615
90	4625.044702
91	4614.0501
92	4610.157392
93	4600.493074
94	4595.049518
95	4585.002773
96	4583.030146
97	4580.136616
98	4573.590949
99	4559.564555
100	4554.794631
101	4545.149534
102	4530.948191
103	4523.361713
104	4516.343594
105	4515.219641
106	4514.387935
107	4505.771393
108	4503.454048
109	4496.526201
110	4494.33696
111	4494.316371
112	4493.544181
113	4491.501164
114	4487.644152
115	4482.038665
116	4468.457429
117	4467.147796
118	4463.065146
119	4453.334216
120	4452.188383
121	4446.249501
122	4435.016722
123	4430.626804
124	4424.750787
125	4421.379426
126	4415.626736
127	4405.229281
128	4399.146129
129	4395.056186
130	4387.384421
131	4385.237447
132	4384.528266
133	4382.739858
134	4379.089067
135	4376.112121
136	4366.54392
137	4359.057286
138	4358.490745
139	4355.400777
140	4351.782841
141	4348.285834
142	4342.196203
143	4338.736455
144	4337.400915
145	4328.963779
146	4319.414229
147	4306.161826
148	4303.271593
149	4299.910819
150	4298.203778
151	4288.206512
152	4285.439099
153	4278.713268
154	4268.177178
155	4267.004812
156	4257.471926
157	4255.739127
158	4248.3253
159	4239.260557
160	4231.939622
161	4220.366402
162	4218.874894
163	4213.32873
164	4206.271052
165	4199.205662
166	4191.265169
167	4187.236271
168	4176.44444
169	4174.493785
170	4165.05098
171	4158.987219
172	4153.08545
173	4144.966116
174	4134.603218
175	4131.894852
176	4130.143152
177	4124.309795
178	4112.62814
179	4108.324264
180	4104.637639
181	4099.525439
182	4088.757657
183	4087.416231
184	4081.69508
185	4072.598891
186	4063.832399
187	4050.009332
188	4043.646101
189	4040.507621
190	4035.105375
191	4026.710926
192	4022.866823
193	4019.250236
194	4006.646165
195	4000.169181
196	3999.700421
197	3993.357784
198	3988.508092
199	3984.515995
200	3978.788334
201	3971.293586
